Alaska,2021-02-11,01:47:17,-148.6909,63.6712,2.2
California,2021-02-12,08:56:08,-118.2657,35.9507,3.0
Japan,2021-02-13,11:43:22,139.2272,38.2939,2.7
Alaska,2021-02-14,04:10:01,-146.8453,62.4886,3.9
Mexico,2021-02-15,14:38:20,-100.3132,17.2784,4.4
California,2021-02-16,23:31:02,-115.2617,32.9325,2.5
Nepal,2021-02-17,06:29:52,84.9942,28.1905,5.0
Japan,2021-02-18,15:12:09,140.5505,36.4942,2.4
California,2021-02-19,09:55:19,-117.2417,35.8142,3.8
Mexico,2021-02-20,17:59:03,-103.2966,17.2331,3.1
Alaska,2021-02-21,03:02:15,-152.2883,58.1991,3.3
California,2021-02-22,06:51:34,-117.4788,34.3152,2.9
Nepal,2021-02-23,21:33:40,86.0383,27.8325,4.1
Japan,2021-02-24,14:57:42,142.2953,38.1635,2.9
Alaska,2021-02-25,07:03:57,-148.0508,65.1661,3.1
Mexico,2021-02-26,11:42:18,-102.1994,19.5408,4.6
California,2021-02-27,20:04:31,-118.7976,34.0742,2.7
Nepal,2021-02-28,15:22:40,83.1601,28.0427,4.8
Japan,2021-03-01,10:33:18,139.5584,37.9521,2.2
California,2021-03-02,22:01:35,-118.0173,34.134,3.5
Mexico,2021-03-03,17:53:48,-105.6885,17.5906,3.2
Alaska,2021-03-04,04:33:13,-148.7529,63.2158,2.8
Japan,2021-03-05,09:56:24,140.3859,38.0248,2.6
California,2021-03-06,14:47:06,-116.0056,34.0285,3.2
Nepal,2021-03-07,08:15:58,84.8177,28.1299,4.3
